Volatility 3 Framework 2.26.2

PID	TID	Process	FD	Path	Device	Inode	Type	Mode	Changed	Modified	Accessed	Size
1	1	systemd	25	socket:[82366]	0:9	82366	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	26	/dev/autofs	0:6	391	CHR	crw-r--r--	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
1	1	systemd	27	socket:[105629]	0:9	105629	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	28	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
1	1	systemd	35	socket:[31123]	0:9	31123	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	36	socket:[31124]	0:9	31124	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	37	socket:[31125]	0:9	31125	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	38	socket:[31156]	0:9	31156	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	39	/dev/rfkill	0:6	4	CHR	crw-rw-r--	2025-12-27 19:02:05.801291 UTC	2025-12-27 19:02:05.801291 UTC	2025-12-27 19:02:05.801291 UTC	0
1	1	systemd	40	pipe:[31135]	0:13	31135	FIFO	prw-------	2025-12-27 19:02:05.801291 UTC	2025-12-27 19:02:05.801291 UTC	2025-12-27 19:02:05.801291 UTC	0
1	1	systemd	44	socket:[36234]	0:9	36234	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	45	socket:[29979]	0:9	29979	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	46	socket:[29073]	0:9	29073	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	47	socket:[31139]	0:9	31139	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	53	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
1	1	systemd	57	/run/initctl	0:25	344	FIFO	prw-------	2025-12-27 19:02:05.305291 UTC	2025-12-27 19:02:05.305291 UTC	2025-12-27 19:02:05.305291 UTC	0
1	1	systemd	58	/run/dmeventd-server	0:25	338	FIFO	prw-------	2025-12-27 19:02:05.305291 UTC	2025-12-27 19:02:05.305291 UTC	2025-12-27 19:02:05.305291 UTC	0
1	1	systemd	62	/run/dmeventd-client	0:25	339	FIFO	prw-------	2025-12-27 19:02:05.305291 UTC	2025-12-27 19:02:05.305291 UTC	2025-12-27 19:02:05.305291 UTC	0
1	1	systemd	67	socket:[36264]	0:9	36264	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	69	socket:[31149]	0:9	31149	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	72	socket:[31140]	0:9	31140	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	74	socket:[36230]	0:9	36230	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	77	socket:[36232]	0:9	36232	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	84	socket:[43570]	0:9	43570	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	87	socket:[41460]	0:9	41460	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	88	socket:[40194]	0:9	40194	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	89	socket:[37706]	0:9	37706	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	90	socket:[37652]	0:9	37652	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	91	socket:[37651]	0:9	37651	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	92	socket:[37626]	0:9	37626	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	93	socket:[37551]	0:9	37551	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	94	socket:[35835]	0:9	35835	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	95	socket:[38043]	0:9	38043	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	96	socket:[38040]	0:9	38040	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	97	socket:[37897]	0:9	37897	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	98	socket:[35223]	0:9	35223	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	99	socket:[36086]	0:9	36086	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	101	socket:[35000]	0:9	35000	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	102	socket:[34383]	0:9	34383	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	103	socket:[32439]	0:9	32439	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	104	socket:[30502]	0:9	30502	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	105	socket:[30238]	0:9	30238	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	106	/run/cloud-init/hook-hotplug-cmd	0:25	772	FIFO	prw-rw-rw-	2025-12-27 19:02:10.009291 UTC	2025-12-27 19:02:10.009291 UTC	2025-12-27 19:02:10.009291 UTC	0
1	1	systemd	107	socket:[31152]	0:9	31152	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	108	socket:[31154]	0:9	31154	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	109	socket:[31150]	0:9	31150	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	110	socket:[40985]	0:9	40985	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	123	socket:[31157]	0:9	31157	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	124	socket:[31137]	0:9	31137	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	125	socket:[31142]	0:9	31142	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	126	socket:[36229]	0:9	36229	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	127	socket:[31159]	0:9	31159	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	128	socket:[36227]	0:9	36227	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	0	/dev/null	0:6	6	CHR	crw-rw-rw-	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
523	523	systemd-journal	1	/dev/null	0:6	6	CHR	crw-rw-rw-	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
523	523	systemd-journal	2	/dev/null	0:6	6	CHR	crw-rw-rw-	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
523	523	systemd-journal	3	socket:[31149]	0:9	31149	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	4	socket:[31150]	0:9	31150	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	5	socket:[31152]	0:9	31152	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	6	socket:[31154]	0:9	31154	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	7	/dev/kmsg	0:6	12	CHR	crw-r--r--	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
523	523	systemd-journal	8	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
523	523	systemd-journal	9	/dev/kmsg	0:6	12	CHR	crw-r--r--	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
523	523	systemd-journal	10	socket:[29007]	0:9	29007	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	11	/proc/sys/kernel/hostname	0:5	29008	REG	-rw-r--r--	2025-12-27 19:02:05.333291 UTC	2025-12-27 19:02:05.333291 UTC	2025-12-27 19:02:05.333291 UTC	0
523	523	systemd-journal	12	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
523	523	systemd-journal	13	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
523	523	systemd-journal	14	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
523	523	systemd-journal	15	socket:[29009]	0:9	29009	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	16	socket:[30502]	0:9	30502	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	17	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
523	523	systemd-journal	18	socket:[36086]	0:9	36086	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	19	socket:[30238]	0:9	30238	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	20	socket:[37897]	0:9	37897	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	21	/var/log/journal/d6dcad4c5f9b4c149757db5fe9aff9a7/system.journal	253:0	3119	REG	-rw-r-----	2025-12-27 21:49:04.845332 UTC	2025-12-27 21:49:04.845332 UTC	2025-12-27 20:10:46.654625 UTC	16777216
523	523	systemd-journal	22	socket:[34383]	0:9	34383	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	23	socket:[32439]	0:9	32439	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	24	socket:[43570]	0:9	43570	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	25	socket:[35000]	0:9	35000	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	26	socket:[35223]	0:9	35223	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	27	socket:[37706]	0:9	37706	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	28	socket:[38040]	0:9	38040	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	29	socket:[38043]	0:9	38043	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	30	socket:[40194]	0:9	40194	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	31	socket:[35835]	0:9	35835	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	32	/var/log/journal/d6dcad4c5f9b4c149757db5fe9aff9a7/user-1000.journal	253:0	3588	REG	-rw-r-----	2025-12-27 21:47:40.346419 UTC	2025-12-27 21:47:40.346419 UTC	2025-12-27 20:10:46.654625 UTC	8388608
523	523	systemd-journal	33	socket:[37551]	0:9	37551	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	34	socket:[37626]	0:9	37626	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	35	socket:[37651]	0:9	37651	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	36	socket:[37652]	0:9	37652	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	37	socket:[41460]	0:9	41460	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	38	socket:[105629]	0:9	105629	SOCK	srwxrwxrwx	-	-	-	0
523	523	systemd-journal	39	socket:[82366]	0:9	82366	SOCK	srwxrwxrwx	-	-	-	0
553	553	systemd-udevd	0	/dev/null	0:6	6	CHR	crw-rw-rw-	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
553	553	systemd-udevd	1	socket:[31514]	0:9	31514	SOCK	srwxrwxrwx	-	-	-	0
553	553	systemd-udevd	2	socket:[31514]	0:9	31514	SOCK	srwxrwxrwx	-	-	-	0
553	553	systemd-udevd	3	socket:[31157]	0:9	31157	SOCK	srwxrwxrwx	-	-	-	0
553	553	systemd-udevd	4	socket:[31159]	0:9	31159	SOCK	srwxrwxrwx	-	-	-	0
553	553	systemd-udevd	5	socket:[31523]	0:9	31523	SOCK	srwxrwxrwx	-	-	-	0
553	553	systemd-udevd	6	socket:[31525]	0:9	31525	SOCK	srwxrwxrwx	-	-	-	0
553	553	systemd-udevd	7	socket:[31526]	0:9	31526	SOCK	srwxrwxrwx	-	-	-	0
553	553	systemd-udevd	8	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
553	553	systemd-udevd	9	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
553	553	systemd-udevd	10	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
553	553	systemd-udevd	11	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
553	553	systemd-udevd	12	/usr/lib/udev/hwdb.bin	253:0	274016	REG	-r--r--r--	2025-12-27 18:52:21.658900 UTC	2023-03-14 22:42:38.000000 UTC	2025-12-27 19:02:05.421291 UTC	9956330
553	553	systemd-udevd	13	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
734	734	multipathd	0	/dev/null	0:6	6	CHR	crw-rw-rw-	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
734	734	multipathd	1	socket:[34064]	0:9	34064	SOCK	srwxrwxrwx	-	-	-	0
734	734	multipathd	2	socket:[34064]	0:9	34064	SOCK	srwxrwxrwx	-	-	-	0
734	734	multipathd	3	socket:[31139]	0:9	31139	SOCK	srwxrwxrwx	-	-	-	0
734	734	multipathd	4	/run/multipathd.pid	0:25	682	REG	-rw-r--r--	2025-12-27 19:02:06.653291 UTC	2025-12-27 19:02:06.653291 UTC	2025-12-27 19:02:06.653291 UTC	3
734	734	multipathd	5	/dev/sda	0:6	345	BLK	brw-rw----	2025-12-27 19:02:35.677290 UTC	2025-12-27 19:02:35.677290 UTC	2025-12-27 19:20:27.532428 UTC	0
734	734	multipathd	6	/dev/mapper/control	0:6	151	CHR	crw-------	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
734	734	multipathd	7	socket:[34065]	0:9	34065	SOCK	srwxrwxrwx	-	-	-	0
734	735	multipathd	0	/dev/null	0:6	6	CHR	crw-rw-rw-	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
734	735	multipathd	1	socket:[34064]	0:9	34064	SOCK	srwxrwxrwx	-	-	-	0
734	735	multipathd	2	socket:[34064]	0:9	34064	SOCK	srwxrwxrwx	-	-	-	0
734	735	multipathd	3	socket:[31139]	0:9	31139	SOCK	srwxrwxrwx	-	-	-	0
734	735	multipathd	4	/run/multipathd.pid	0:25	682	REG	-rw-r--r--	2025-12-27 19:02:06.653291 UTC	2025-12-27 19:02:06.653291 UTC	2025-12-27 19:02:06.653291 UTC	3
734	735	multipathd	5	/dev/sda	0:6	345	BLK	brw-rw----	2025-12-27 19:02:35.677290 UTC	2025-12-27 19:02:35.677290 UTC	2025-12-27 19:20:27.532428 UTC	0
734	735	multipathd	6	/dev/mapper/control	0:6	151	CHR	crw-------	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
734	735	multipathd	7	socket:[34065]	0:9	34065	SOCK	srwxrwxrwx	-	-	-	0
734	736	multipathd	0	/dev/null	0:6	6	CHR	crw-rw-rw-	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
734	736	multipathd	1	socket:[34064]	0:9	34064	SOCK	srwxrwxrwx	-	-	-	0
734	736	multipathd	2	socket:[34064]	0:9	34064	SOCK	srwxrwxrwx	-	-	-	0
734	736	multipathd	3	socket:[31139]	0:9	31139	SOCK	srwxrwxrwx	-	-	-	0
734	736	multipathd	4	/run/multipathd.pid	0:25	682	REG	-rw-r--r--	2025-12-27 19:02:06.653291 UTC	2025-12-27 19:02:06.653291 UTC	2025-12-27 19:02:06.653291 UTC	3
734	736	multipathd	5	/dev/sda	0:6	345	BLK	brw-rw----	2025-12-27 19:02:35.677290 UTC	2025-12-27 19:02:35.677290 UTC	2025-12-27 19:20:27.532428 UTC	0
734	736	multipathd	6	/dev/mapper/control	0:6	151	CHR	crw-------	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
734	736	multipathd	7	socket:[34065]	0:9	34065	SOCK	srwxrwxrwx	-	-	-	0
734	737	multipathd	0	/dev/null	0:6	6	CHR	crw-rw-rw-	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
734	737	multipathd	1	socket:[34064]	0:9	34064	SOCK	srwxrwxrwx	-	-	-	0
734	737	multipathd	2	socket:[34064]	0:9	34064	SOCK	srwxrwxrwx	-	-	-	0
734	737	multipathd	3	socket:[31139]	0:9	31139	SOCK	srwxrwxrwx	-	-	-	0
734	737	multipathd	4	/run/multipathd.pid	0:25	682	REG	-rw-r--r--	2025-12-27 19:02:06.653291 UTC	2025-12-27 19:02:06.653291 UTC	2025-12-27 19:02:06.653291 UTC	3
734	737	multipathd	5	/dev/sda	0:6	345	BLK	brw-rw----	2025-12-27 19:02:35.677290 UTC	2025-12-27 19:02:35.677290 UTC	2025-12-27 19:20:27.532428 UTC	0
734	737	multipathd	6	/dev/mapper/control	0:6	151	CHR	crw-------	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
734	737	multipathd	7	socket:[34065]	0:9	34065	SOCK	srwxrwxrwx	-	-	-	0
734	738	multipathd	0	/dev/null	0:6	6	CHR	crw-rw-rw-	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
734	738	multipathd	1	socket:[34064]	0:9	34064	SOCK	srwxrwxrwx	-	-	-	0
734	738	multipathd	2	socket:[34064]	0:9	34064	SOCK	srwxrwxrwx	-	-	-	0
734	738	multipathd	3	socket:[31139]	0:9	31139	SOCK	srwxrwxrwx	-	-	-	0
734	738	multipathd	4	/run/multipathd.pid	0:25	682	REG	-rw-r--r--	2025-12-27 19:02:06.653291 UTC	2025-12-27 19:02:06.653291 UTC	2025-12-27 19:02:06.653291 UTC	3
734	738	multipathd	5	/dev/sda	0:6	345	BLK	brw-rw----	2025-12-27 19:02:35.677290 UTC	2025-12-27 19:02:35.677290 UTC	2025-12-27 19:20:27.532428 UTC	0
734	738	multipathd	6	/dev/mapper/control	0:6	151	CHR	crw-------	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
734	738	multipathd	7	socket:[34065]	0:9	34065	SOCK	srwxrwxrwx	-	-	-	0
734	739	multipathd	0	/dev/null	0:6	6	CHR	crw-rw-rw-	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
734	739	multipathd	1	socket:[34064]	0:9	34064	SOCK	srwxrwxrwx	-	-	-	0
734	739	multipathd	2	socket:[34064]	0:9	34064	SOCK	srwxrwxrwx	-	-	-	0
734	739	multipathd	3	socket:[31139]	0:9	31139	SOCK	srwxrwxrwx	-	-	-	0
734	739	multipathd	4	/run/multipathd.pid	0:25	682	REG	-rw-r--r--	2025-12-27 19:02:06.653291 UTC	2025-12-27 19:02:06.653291 UTC	2025-12-27 19:02:06.653291 UTC	3
734	739	multipathd	5	/dev/sda	0:6	345	BLK	brw-rw----	2025-12-27 19:02:35.677290 UTC	2025-12-27 19:02:35.677290 UTC	2025-12-27 19:20:27.532428 UTC	0
734	739	multipathd	6	/dev/mapper/control	0:6	151	CHR	crw-------	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
734	739	multipathd	7	socket:[34065]	0:9	34065	SOCK	srwxrwxrwx	-	-	-	0
734	740	multipathd	0	/dev/null	0:6	6	CHR	crw-rw-rw-	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
734	740	multipathd	1	socket:[34064]	0:9	34064	SOCK	srwxrwxrwx	-	-	-	0
734	740	multipathd	2	socket:[34064]	0:9	34064	SOCK	srwxrwxrwx	-	-	-	0
734	740	multipathd	3	socket:[31139]	0:9	31139	SOCK	srwxrwxrwx	-	-	-	0
734	740	multipathd	4	/run/multipathd.pid	0:25	682	REG	-rw-r--r--	2025-12-27 19:02:06.653291 UTC	2025-12-27 19:02:06.653291 UTC	2025-12-27 19:02:06.653291 UTC	3
734	740	multipathd	5	/dev/sda	0:6	345	BLK	brw-rw----	2025-12-27 19:02:35.677290 UTC	2025-12-27 19:02:35.677290 UTC	2025-12-27 19:20:27.532428 UTC	0
734	740	multipathd	6	/dev/mapper/control	0:6	151	CHR	crw-------	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
734	740	multipathd	7	socket:[34065]	0:9	34065	SOCK	srwxrwxrwx	-	-	-	0
770	770	systemd-timesyn	0	/dev/null	0:6	6	CHR	crw-rw-rw-	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	2025-12-27 19:02:05.793291 UTC	0
770	770	systemd-timesyn	1	socket:[32437]	0:9	32437	SOCK	srwxrwxrwx	-	-	-	0
770	770	systemd-timesyn	2	socket:[32437]	0:9	32437	SOCK	srwxrwxrwx	-	-	-	0
770	770	systemd-timesyn	3	socket:[30698]	0:9	30698	SOCK	srwxrwxrwx	-	-	-	0
770	770	systemd-timesyn	4	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
770	770	systemd-timesyn	5	anon_inode:[12452]	0:14	12452	-	?rw-------	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	2025-12-27 19:02:00.452000 UTC	0
