Volatility 3 Framework 2.26.2

OFFSET (V)	PID	TID	PPID	COMM	UID	GID	EUID	EGID	CREATION TIME	File output
0x9b9336324740	133	133	2	irq/49-pciehp	0	0	0	0	2025-12-27 19:02:00.767336 UTC	Disabled
0x9b9336325f00	134	134	2	irq/50-pciehp	0	0	0	0	2025-12-27 19:02:00.768207 UTC	Disabled
0x9b933637df00	135	135	2	irq/51-pciehp	0	0	0	0	2025-12-27 19:02:00.769114 UTC	Disabled
0x9b93363797c0	136	136	2	irq/52-pciehp	0	0	0	0	2025-12-27 19:02:00.770017 UTC	Disabled
0x9b9336378000	137	137	2	irq/53-pciehp	0	0	0	0	2025-12-27 19:02:00.770910 UTC	Disabled
0x9b933637af80	138	138	2	irq/54-pciehp	0	0	0	0	2025-12-27 19:02:00.771936 UTC	Disabled
0x9b933637c740	139	139	2	irq/55-pciehp	0	0	0	0	2025-12-27 19:02:00.772860 UTC	Disabled
0x9b93363a0000	140	140	2	acpi_thermal_pm	0	0	0	0	2025-12-27 19:02:00.774124 UTC	Disabled
0x9b93363a2f80	141	141	2	scsi_eh_0	0	0	0	0	2025-12-27 19:02:00.908787 UTC	Disabled
0x9b93381a8000	142	142	2	scsi_tmf_0	0	0	0	0	2025-12-27 19:02:00.908853 UTC	Disabled
0x9b93270f2f80	143	143	2	scsi_eh_1	0	0	0	0	2025-12-27 19:02:00.908993 UTC	Disabled
0x9b93270f4740	144	144	2	scsi_tmf_1	0	0	0	0	2025-12-27 19:02:00.909200 UTC	Disabled
0x9b9327104740	146	146	2	vfio-irqfd-clea	0	0	0	0	2025-12-27 19:02:00.910592 UTC	Disabled
0x9b9327105f00	147	147	2	ipv6_addrconf	0	0	0	0	2025-12-27 19:02:00.915943 UTC	Disabled
0x9b932723df00	157	157	2	kstrp	0	0	0	0	2025-12-27 19:02:00.919585 UTC	Disabled
0x9b932723af80	160	160	2	kworker/u257:0	0	0	0	0	2025-12-27 19:02:00.922754 UTC	Disabled
0x9b932734c740	173	173	2	charger_manager	0	0	0	0	2025-12-27 19:02:00.931384 UTC	Disabled
0x9b9325758000	239	239	2	mpt_poll_0	0	0	0	0	2025-12-27 19:02:01.733789 UTC	Disabled
0x9b932575af80	240	240	2	mpt/0	0	0	0	0	2025-12-27 19:02:01.734579 UTC	Disabled
0x9b932575c740	241	241	2	cryptd	0	0	0	0	2025-12-27 19:02:01.736144 UTC	Disabled
0x9b93271eaf80	242	242	2	scsi_eh_2	0	0	0	0	2025-12-27 19:02:01.738905 UTC	Disabled
0x9b93257a2f80	243	243	2	scsi_tmf_2	0	0	0	0	2025-12-27 19:02:01.738974 UTC	Disabled
0x9b93257a5f00	245	245	2	scsi_eh_3	0	0	0	0	2025-12-27 19:02:01.742141 UTC	Disabled
0x9b93273497c0	247	247	2	scsi_tmf_3	0	0	0	0	2025-12-27 19:02:01.742156 UTC	Disabled
0x9b93257597c0	249	249	2	scsi_eh_4	0	0	0	0	2025-12-27 19:02:01.742295 UTC	Disabled
0x9b932455df00	250	250	2	scsi_tmf_4	0	0	0	0	2025-12-27 19:02:01.742345 UTC	Disabled
0x9b93245597c0	251	251	2	scsi_eh_5	0	0	0	0	2025-12-27 19:02:01.742487 UTC	Disabled
0x9b9324558000	252	252	2	scsi_tmf_5	0	0	0	0	2025-12-27 19:02:01.742495 UTC	Disabled
0x9b93245ac740	261	261	2	scsi_eh_6	0	0	0	0	2025-12-27 19:02:01.743030 UTC	Disabled
0x9b93245adf00	262	262	2	scsi_tmf_6	0	0	0	0	2025-12-27 19:02:01.743067 UTC	Disabled
0x9b9324614740	265	265	2	scsi_eh_7	0	0	0	0	2025-12-27 19:02:01.743876 UTC	Disabled
0x9b93246117c0	267	267	2	scsi_tmf_7	0	0	0	0	2025-12-27 19:02:01.743934 UTC	Disabled
0x9b93257a0000	268	268	2	scsi_eh_8	0	0	0	0	2025-12-27 19:02:01.745189 UTC	Disabled
0x9b93380817c0	270	270	2	scsi_tmf_8	0	0	0	0	2025-12-27 19:02:01.745821 UTC	Disabled
0x9b9324652f80	273	273	2	scsi_eh_9	0	0	0	0	2025-12-27 19:02:01.749374 UTC	Disabled
0x9b9324654740	274	274	2	irq/16-vmwgfx	0	0	0	0	2025-12-27 19:02:01.749402 UTC	Disabled
0x9b93273f2f80	275	275	2	scsi_tmf_9	0	0	0	0	2025-12-27 19:02:01.749424 UTC	Disabled
0x9b9324655f00	276	276	2	ttm_swap	0	0	0	0	2025-12-27 19:02:01.749498 UTC	Disabled
0x9b93246697c0	277	277	2	scsi_eh_10	0	0	0	0	2025-12-27 19:02:01.749652 UTC	Disabled
0x9b93273f0000	278	278	2	scsi_tmf_10	0	0	0	0	2025-12-27 19:02:01.764176 UTC	Disabled
0x9b93271e8000	279	279	2	scsi_eh_11	0	0	0	0	2025-12-27 19:02:01.765849 UTC	Disabled
0x9b93273f17c0	280	280	2	scsi_tmf_11	0	0	0	0	2025-12-27 19:02:01.765894 UTC	Disabled
0x9b93273f5f00	281	281	2	scsi_eh_12	0	0	0	0	2025-12-27 19:02:01.766075 UTC	Disabled
0x9b93271edf00	282	282	2	scsi_tmf_12	0	0	0	0	2025-12-27 19:02:01.766128 UTC	Disabled
0x9b93271e97c0	283	283	2	scsi_eh_13	0	0	0	0	2025-12-27 19:02:01.766276 UTC	Disabled
0x9b93273f4740	284	284	2	scsi_tmf_13	0	0	0	0	2025-12-27 19:02:01.778216 UTC	Disabled
0x9b93363a4740	285	285	2	scsi_eh_14	0	0	0	0	2025-12-27 19:02:01.778405 UTC	Disabled
0x9b93363a5f00	286	286	2	scsi_tmf_14	0	0	0	0	2025-12-27 19:02:01.778417 UTC	Disabled
0x9b93271d8000	287	287	2	scsi_eh_15	0	0	0	0	2025-12-27 19:02:01.778563 UTC	Disabled
0x9b93271ec740	288	288	2	scsi_tmf_15	0	0	0	0	2025-12-27 19:02:01.778597 UTC	Disabled
0x9b932723c740	289	289	2	scsi_eh_16	0	0	0	0	2025-12-27 19:02:01.784398 UTC	Disabled
0x9b93257a4740	290	290	2	scsi_tmf_16	0	0	0	0	2025-12-27 19:02:01.784555 UTC	Disabled
0x9b93271dc740	291	291	2	scsi_eh_17	0	0	0	0	2025-12-27 19:02:01.787950 UTC	Disabled
0x9b93273a17c0	292	292	2	scsi_tmf_17	0	0	0	0	2025-12-27 19:02:01.788252 UTC	Disabled
0x9b93273a5f00	293	293	2	scsi_eh_18	0	0	0	0	2025-12-27 19:02:01.788353 UTC	Disabled
0x9b9327100000	294	294	2	scsi_tmf_18	0	0	0	0	2025-12-27 19:02:01.788427 UTC	Disabled
0x9b9324568000	295	295	2	scsi_eh_19	0	0	0	0	2025-12-27 19:02:01.788504 UTC	Disabled
0x9b93245697c0	296	296	2	scsi_tmf_19	0	0	0	0	2025-12-27 19:02:01.788574 UTC	Disabled
0x9b932456df00	297	297	2	scsi_eh_20	0	0	0	0	2025-12-27 19:02:01.788644 UTC	Disabled
0x9b932456c740	298	298	2	scsi_tmf_20	0	0	0	0	2025-12-27 19:02:01.788717 UTC	Disabled
0x9b932456af80	299	299	2	scsi_eh_21	0	0	0	0	2025-12-27 19:02:01.790816 UTC	Disabled
0x9b932455c740	300	300	2	scsi_tmf_21	0	0	0	0	2025-12-27 19:02:01.791041 UTC	Disabled
0x9b932455af80	301	301	2	scsi_eh_22	0	0	0	0	2025-12-27 19:02:01.791677 UTC	Disabled
0x9b932575df00	302	302	2	scsi_tmf_22	0	0	0	0	2025-12-27 19:02:01.791822 UTC	Disabled
0x9b9322d497c0	303	303	2	scsi_eh_23	0	0	0	0	2025-12-27 19:02:01.792050 UTC	Disabled
0x9b9322d48000	304	304	2	scsi_tmf_23	0	0	0	0	2025-12-27 19:02:01.792065 UTC	Disabled
0x9b9322d4af80	305	305	2	scsi_eh_24	0	0	0	0	2025-12-27 19:02:01.792278 UTC	Disabled
0x9b9322d4c740	306	306	2	scsi_tmf_24	0	0	0	0	2025-12-27 19:02:01.792424 UTC	Disabled
0x9b9322d4df00	307	307	2	scsi_eh_25	0	0	0	0	2025-12-27 19:02:01.792611 UTC	Disabled
0x9b9322d72f80	308	308	2	scsi_tmf_25	0	0	0	0	2025-12-27 19:02:01.792634 UTC	Disabled
0x9b9322d74740	309	309	2	scsi_eh_26	0	0	0	0	2025-12-27 19:02:01.792810 UTC	Disabled
0x9b9322d75f00	310	310	2	scsi_tmf_26	0	0	0	0	2025-12-27 19:02:01.792936 UTC	Disabled
0x9b9322d717c0	311	311	2	scsi_eh_27	0	0	0	0	2025-12-27 19:02:01.793382 UTC	Disabled
0x9b9322d70000	312	312	2	scsi_tmf_27	0	0	0	0	2025-12-27 19:02:01.793527 UTC	Disabled
0x9b9326fb2f80	313	313	2	scsi_eh_28	0	0	0	0	2025-12-27 19:02:01.793995 UTC	Disabled
0x9b9326fb4740	314	314	2	scsi_tmf_28	0	0	0	0	2025-12-27 19:02:01.794139 UTC	Disabled
0x9b9326fb5f00	315	315	2	scsi_eh_29	0	0	0	0	2025-12-27 19:02:01.794543 UTC	Disabled
0x9b9326fb17c0	316	316	2	scsi_tmf_29	0	0	0	0	2025-12-27 19:02:01.794669 UTC	Disabled
0x9b9326fb0000	317	317	2	scsi_eh_30	0	0	0	0	2025-12-27 19:02:01.795053 UTC	Disabled
0x9b9322d997c0	318	318	2	scsi_tmf_30	0	0	0	0	2025-12-27 19:02:01.795172 UTC	Disabled
0x9b9322d98000	319	319	2	scsi_eh_31	0	0	0	0	2025-12-27 19:02:01.795391 UTC	Disabled
0x9b9322d9af80	320	320	2	scsi_tmf_31	0	0	0	0	2025-12-27 19:02:01.795405 UTC	Disabled
0x9b9324610000	349	349	2	scsi_eh_32	0	0	0	0	2025-12-27 19:02:02.108487 UTC	Disabled
0x9b9322e4af80	350	350	2	scsi_tmf_32	0	0	0	0	2025-12-27 19:02:02.108519 UTC	Disabled
0x9b9322eb2f80	351	351	2	kworker/1:1H	0	0	0	0	2025-12-27 19:02:02.153026 UTC	Disabled
0x9b9322eb4740	352	352	2	kworker/3:1H	0	0	0	0	2025-12-27 19:02:02.480367 UTC	Disabled
0x9b93256ac740	365	365	2	kdmflush	0	0	0	0	2025-12-27 19:02:02.531322 UTC	Disabled
0x9b93256a8000	375	375	2	kworker/2:1H	0	0	0	0	2025-12-27 19:02:02.542919 UTC	Disabled
0x9b93256a97c0	385	385	2	kworker/0:1H	0	0	0	0	2025-12-27 19:02:02.724091 UTC	Disabled
0x9b93256aaf80	405	405	2	raid5wq	0	0	0	0	2025-12-27 19:02:03.366064 UTC	Disabled
0x9b9322e497c0	449	449	2	jbd2/dm-0-8	0	0	0	0	2025-12-27 19:02:04.180567 UTC	Disabled
0x9b9322e4c740	450	450	2	ext4-rsv-conver	0	0	0	0	2025-12-27 19:02:04.180641 UTC	Disabled
0x9b93226997c0	523	523	1	systemd-journal	0	0	0	0	2025-12-27 19:02:04.753676 UTC	Disabled
0x9b93272397c0	553	553	1	systemd-udevd	0	0	0	0	2025-12-27 19:02:04.847277 UTC	Disabled
0x9b933814df00	730	730	2	kaluad	0	0	0	0	2025-12-27 19:02:06.076642 UTC	Disabled
0x9b933814c740	731	731	2	kmpath_rdacd	0	0	0	0	2025-12-27 19:02:06.079231 UTC	Disabled
0x9b93381497c0	732	732	2	kmpathd	0	0	0	0	2025-12-27 19:02:06.080660 UTC	Disabled
0x9b9322de97c0	733	733	2	kmpath_handlerd	0	0	0	0	2025-12-27 19:02:06.080706 UTC	Disabled
0x9b9322eb5f00	734	734	1	multipathd	0	0	0	0	2025-12-27 19:02:06.081115 UTC	Disabled
0x9b9322de8000	742	742	2	loop0	0	0	0	0	2025-12-27 19:02:06.101114 UTC	Disabled
0x9b9322bc2f80	750	750	2	jbd2/sda2-8	0	0	0	0	2025-12-27 19:02:06.122927 UTC	Disabled
0x9b9322bc5f00	751	751	2	ext4-rsv-conver	0	0	0	0	2025-12-27 19:02:06.123544 UTC	Disabled
0x9b93363a17c0	753	753	2	loop1	0	0	0	0	2025-12-27 19:02:06.125229 UTC	Disabled
0x9b93273a4740	755	755	2	loop2	0	0	0	0	2025-12-27 19:02:06.144272 UTC	Disabled
0x9b932722c740	770	770	1	systemd-timesyn	102	104	102	104	2025-12-27 19:02:06.192891 UTC	Disabled
0x9b93273a2f80	797	797	1	VGAuthService	0	0	0	0	2025-12-27 19:02:06.364752 UTC	Disabled
0x9b9322698000	798	798	1	vmtoolsd	0	0	0	0	2025-12-27 19:02:06.365627 UTC	Disabled
0x9b93245a97c0	1007	1007	1	systemd-network	100	102	100	102	2025-12-27 19:02:06.963454 UTC	Disabled
0x9b932f3f0000	1009	1009	1	systemd-resolve	101	103	101	103	2025-12-27 19:02:07.000732 UTC	Disabled
0x9b932f3f2f80	1035	1035	1	accounts-daemon	0	0	0	0	2025-12-27 19:02:09.451450 UTC	Disabled
0x9b932b2f5f00	1041	1041	1	cron	0	0	0	0	2025-12-27 19:02:09.459175 UTC	Disabled
0x9b932b2f17c0	1043	1043	1	dbus-daemon	103	106	103	106	2025-12-27 19:02:09.463309 UTC	Disabled
0x9b9322bc0000	1047	1047	1	irqbalance	0	0	0	0	2025-12-27 19:02:09.469630 UTC	Disabled
0x9b9322bc17c0	1048	1048	1	networkd-dispat	0	0	0	0	2025-12-27 19:02:09.471065 UTC	Disabled
0x9b9322bc4740	1049	1049	1	polkitd	0	0	0	0	2025-12-27 19:02:09.472173 UTC	Disabled
0x9b93270f17c0	1052	1052	1	rsyslogd	104	110	104	110	2025-12-27 19:02:09.475236 UTC	Disabled
0x9b9324615f00	1056	1056	1	snapd	0	0	0	0	2025-12-27 19:02:09.480363 UTC	Disabled
0x9b9332d7af80	1062	1062	1	systemd-logind	0	0	0	0	2025-12-27 19:02:09.482669 UTC	Disabled
0x9b9332d0df00	1075	1075	1	udisksd	0	0	0	0	2025-12-27 19:02:09.500121 UTC	Disabled
0x9b9332d097c0	1076	1076	1	atd	0	0	1	1	2025-12-27 19:02:09.501988 UTC	Disabled
0x9b93245aaf80	1106	1106	1	ModemManager	0	0	0	0	2025-12-27 19:02:09.523425 UTC	Disabled
0x9b93320a5f00	1133	1133	1	login	0	1000	0	1000	2025-12-27 19:02:09.554387 UTC	Disabled
0x9b93320a2f80	1140	1140	1	unattended-upgr	0	0	0	0	2025-12-27 19:02:09.570011 UTC	Disabled
0x9b93227cc740	1930	1930	1	sshd	0	0	0	0	2025-12-27 19:02:15.454708 UTC	Disabled
0x9b93227cdf00	2162	2162	1	systemd	1000	1000	1000	1000	2025-12-27 19:03:34.901378 UTC	Disabled
0x9b932f3f4740	2170	2170	2162	(sd-pam)	1000	1000	1000	1000	2025-12-27 19:03:34.914153 UTC	Disabled
0x9b932f3f5f00	2175	2175	1133	bash	1000	1000	1000	1000	2025-12-27 19:03:34.969538 UTC	Disabled
0x9b932c310000	2945	2945	1930	sshd	0	0	0	0	2025-12-27 19:07:59.525038 UTC	Disabled
0x9b932a938000	3037	3037	2945	sshd	1000	1000	1000	1000	2025-12-27 19:08:02.043173 UTC	Disabled
0x9b932ae417c0	3038	3038	3037	bash	1000	1000	1000	1000	2025-12-27 19:08:02.047604 UTC	Disabled
0x9b92b433df00	17742	17742	1	apache2	0	0	0	0	2025-12-27 19:20:48.524242 UTC	Disabled
0x9b92a2ac4740	17744	17744	17742	apache2	33	33	33	33	2025-12-27 19:20:48.530169 UTC	Disabled
0x9b92a2ac5f00	17745	17745	17742	apache2	33	33	33	33	2025-12-27 19:20:48.530338 UTC	Disabled
0x9b92a2ac0000	17746	17746	17742	apache2	33	33	33	33	2025-12-27 19:20:48.530503 UTC	Disabled
0x9b92a2ac2f80	17747	17747	17742	apache2	33	33	33	33	2025-12-27 19:20:48.530662 UTC	Disabled
0x9b92a2ac17c0	17748	17748	17742	apache2	33	33	33	33	2025-12-27 19:20:48.530813 UTC	Disabled
0x9b92b95b0000	19441	19441	3038	sudo	0	0	0	0	2025-12-27 19:47:40.198251 UTC	Disabled
0x9b932a985f00	19442	19442	19441	python3	0	0	0	0	2025-12-27 19:47:40.201065 UTC	Disabled
0x9b92a287c740	19979	19979	3038	sudo	0	0	0	0	2025-12-27 20:07:22.207748 UTC	Disabled
0x9b932ae44740	19983	19983	19979	python3	0	0	0	0	2025-12-27 20:07:22.211850 UTC	Disabled
0x9b932d77af80	20288	20288	1	.kworker_update	0	0	0	0	2025-12-27 20:10:40.353118 UTC	Disabled
0x9b92b9712f80	20372	20372	3038	sudo	0	0	0	0	2025-12-27 20:11:26.624147 UTC	Disabled
0x9b92b96b97c0	20375	20375	20372	.uhelper	0	0	0	0	2025-12-27 20:11:26.627187 UTC	Disabled
0x9b92a2818000	20479	20479	3038	sudo	0	0	0	0	2025-12-27 20:12:56.787841 UTC	Disabled
0x9b92b96c97c0	20480	20480	20479	.injector	0	0	0	0	2025-12-27 20:12:56.790582 UTC	Disabled
0x9b9331072f80	21625	21625	2	kworker/2:2	0	0	0	0	2025-12-27 20:39:23.384363 UTC	Disabled
0x9b9322eb17c0	22402	22402	2	kworker/u256:2	0	0	0	0	2025-12-27 21:02:28.713490 UTC	Disabled
0x9b93310717c0	22952	22952	2	kworker/1:0	0	0	0	0	2025-12-27 21:09:20.388292 UTC	Disabled
0x9b933248c740	23005	23005	2	kworker/u256:1	0	0	0	0	2025-12-27 21:10:48.680241 UTC	Disabled
0x9b93271daf80	23717	23717	2	kworker/3:1	0	0	0	0	2025-12-27 21:21:40.024199 UTC	Disabled
0x9b932269df00	24060	24060	2	kworker/0:2	0	0	0	0	2025-12-27 21:22:43.796339 UTC	Disabled
0x9b93311e4740	24617	24617	2	kworker/2:0	0	0	0	0	2025-12-27 21:33:21.148286 UTC	Disabled
0x9b93311e5f00	24751	24751	2	kworker/3:2	0	0	0	0	2025-12-27 21:34:15.276462 UTC	Disabled
0x9b93273a0000	24854	24854	2	kworker/1:1	0	0	0	0	2025-12-27 21:34:29.456308 UTC	Disabled
0x9b93311e2f80	24957	24957	2	kworker/0:0	0	0	0	0	2025-12-27 21:34:40.700408 UTC	Disabled
0x9b93271d97c0	25364	25364	2	kworker/u256:3	0	0	0	0	2025-12-27 21:38:16.681221 UTC	Disabled
0x9b932466c740	25608	25608	2	kworker/u256:0	0	0	0	0	2025-12-27 21:43:31.272551 UTC	Disabled
0x9b9324668000	25796	25796	2	kworker/0:1	0	0	0	0	2025-12-27 21:46:06.868691 UTC	Disabled
0x9b932466df00	25900	25900	2	kworker/3:0	0	0	0	0	2025-12-27 21:46:16.172424 UTC	Disabled
0x9b932466af80	26012	26012	2	kworker/2:1	0	0	0	0	2025-12-27 21:46:39.448143 UTC	Disabled
0x9b9324612f80	26013	26013	2	kworker/1:2	0	0	0	0	2025-12-27 21:46:39.468301 UTC	Disabled
0x9b932c30af80	26241	26241	1930	sshd	0	0	0	0	2025-12-27 21:47:28.872551 UTC	Disabled
0x9b92b40aaf80	26331	26331	26241	sshd	1000	1000	1000	1000	2025-12-27 21:47:32.080412 UTC	Disabled
0x9b92b40ac740	26332	26332	26331	bash	1000	1000	1000	1000	2025-12-27 21:47:32.123818 UTC	Disabled
0x9b93245a8000	26400	26400	2	kworker/1:3	0	0	0	0	2025-12-27 21:47:45.992291 UTC	Disabled
0x9b9332574740	26632	26632	1	packagekitd	0	0	0	0	2025-12-27 21:47:48.294117 UTC	Disabled
